# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
  rj67.706   2009/04/08   14929.859858   -38.36     1.06   1.094    46275
  rj67.707   2009/04/08   14929.861444   -36.78     1.12   1.105    46287
 rj67.1001   2009/04/13   14934.852728    82.61     0.89   1.131    46551
 rj67.1002   2009/04/13   14934.853654    81.91     0.92   1.122    46296
 rj67.1003   2009/04/13   14934.854568    83.20     0.86   1.126    46718
  rj68.109   2009/05/03   14954.845756   -13.99     1.01   1.125    47657
  rj68.110   2009/05/03   14954.846439   -13.06     0.90   1.129    49065
  rj68.111   2009/05/03   14954.847122   -14.25     0.89   1.129    48838
  rj68.513   2009/05/04   14955.873979   -31.84     0.97   1.091    49583
  rj70.117   2009/06/01   14983.744673    -4.80     0.95   1.179    49333
  rj70.118   2009/06/01   14983.745367    -6.26     1.00   1.177    49254
  rj70.119   2009/06/01   14983.746073    -5.06     0.99   1.143    48294
  rj70.374   2009/06/02   14984.760065   -37.51     0.90   1.119    46626
  rj70.375   2009/06/02   14984.760783   -37.14     0.99   1.127    47859
  rj70.376   2009/06/02   14984.761489   -41.12     0.96   1.100    46300
  rj70.663   2009/06/03   14985.733402   -51.25     0.95   1.098    47639
  rj70.664   2009/06/03   14985.734212   -51.64     0.94   1.146    47104
  rj70.665   2009/06/03   14985.734906   -49.15     0.95   1.129    49008
  rj70.964   2009/06/04   14986.757372   -38.16     0.92   1.158    51247
  rj70.965   2009/06/04   14986.758113   -41.85     0.94   1.119    49238
  rj70.966   2009/06/04   14986.758830   -43.58     1.02   1.132    47594
 rj70.1163   2009/06/05   14987.734946   -42.03     0.90   1.079    48602
 rj70.1164   2009/06/05   14987.735814   -43.05     1.00   1.080    47707
 rj70.1165   2009/06/05   14987.736682   -37.32     0.99   1.073    49189
 rj70.1360   2009/06/06   14988.735274   -13.39     0.97   1.081    51211
 rj70.1361   2009/06/06   14988.736119   -15.48     0.97   1.105    48474
 rj70.1362   2009/06/06   14988.736871   -15.97     0.93   1.077    47399
  rj77.513   2009/10/04   15109.136438    63.72     1.01   1.117    48382
  rj77.514   2009/10/04   15109.137294    60.41     1.00   1.093    47286
  rj77.515   2009/10/04   15109.138024    55.84     1.05   1.123    47939
  rj78.247   2009/10/29   15134.151610   -31.87     0.86   1.171    49869
  rj78.248   2009/10/29   15134.152304   -36.41     1.01   1.187    48854
  rj78.249   2009/10/29   15134.152999   -31.00     0.95   1.177    50293
  rj79.122   2009/11/28   15164.126506   -20.75     1.00   1.116    49081
  rj79.123   2009/11/28   15164.127247   -18.34     1.02   1.125    49069
  rj79.124   2009/11/28   15164.127988   -20.29     0.85   1.143    48355
  rj80.642   2009/12/06   15172.115409    61.91     1.02   1.145    47637
  rj80.643   2009/12/06   15172.116138    61.96     0.97   1.144    49722
  rj80.644   2009/12/06   15172.116867    63.98     0.98   1.124    47475
  rj80.865   2009/12/07   15173.030689    38.37     1.00   1.128    51378
  rj80.866   2009/12/07   15173.031383    39.07     0.97   1.125    47774
  rj80.867   2009/12/07   15173.032089    40.59     0.95   1.143    47552
  rj81.192   2009/12/22   15188.096847    10.36     1.10   1.167    51571
  rj81.193   2009/12/22   15188.097588     6.52     1.14   1.112    47712
  rj81.194   2009/12/22   15188.098363     7.43     1.07   1.126    49480
  rj81.403   2009/12/23   15189.077622   -21.68     1.05   1.108    32378
  rj81.404   2009/12/23   15189.078247   -26.04     1.19   1.095    30765
  rj81.405   2009/12/23   15189.078849   -23.88     1.20   1.108    33336
  rj81.695   2009/12/24   15190.124002   -48.06     1.00   1.165    50046
